,Ticket #,Badge,Issue Date ,IssueTime,Plate,State,Make,Model,Violation, Description,Location,Meter, Fine ,Penalty,lat,lng
39,4120022845,837.0,2020-01-02,1642,9KHV04,MI,FORD,,A45,OVER LEGAL TIME LIMIT,800 BLK OF OLIVIA,,25.0,0.0,42.270735,-83.731499
40,4120022844,837.0,2020-01-02,1627,EDF2788,MI,BUIC,,A45,OVER LEGAL TIME LIMIT,600 BLK OF WASHINGTO,,35.0,0.0,42.281419,-83.748478
41,4120022843,837.0,2020-01-02,1618,DFU5999,MI,LEXU,,A45,OVER LEGAL TIME LIMIT,400 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
42,4120022842,837.0,2020-01-02,1615,828ZYV,WI,SUBA,,A45,OVER LEGAL TIME LIMIT,500 BLK OF ASHLEY SO,,25.0,0.0,42.281419,-83.748478
43,4070021903,828.0,2020-01-02,0941,DUZ5173,MI,DODG,,A01,EXPIRED METER,1300 BLK OF ANN EAST,5437,25.0,35.0,42.282311,-83.732365
44,4120022840,837.0,2020-01-02,1608,457237,RI,NISS,,A45,OVER LEGAL TIME LIMIT,200 BLK OF MADISON E,,25.0,0.0,42.274106,-83.747667
45,4030029235,836.0,2020-01-02,1631,DTN0007,MI,FORD,,A45,OVER LEGAL TIME LIMIT,400 WASHINGTON WEST,,25.0,0.0,42.280631,-83.753043
46,4120022838,837.0,2020-01-02,1504,LHB8284,TX,CHEV,,A45,OVER LEGAL TIME LIMIT,1100 BLK OF PROSPECT,,35.0,20.0,42.26868,-83.735698
47,4120022837,837.0,2020-01-02,1502,DVN5084,MI,TOYO,,A45,OVER LEGAL TIME LIMIT,1200 BLK OF PROSPECT,,35.0,0.0,42.267946,-83.734311
48,4120022836,837.0,2020-01-02,1452,242XZM,WI,MAZD,,A45,OVER LEGAL TIME LIMIT,600 BLK OF FIRST ST,,35.0,20.0,42.281419,-83.748478
